Date	TheAllstateCorporation_ALL_	VanguardTotalBondMarketIndexFund_BND_	BitcoinUSDPrice_BTCUSD_	IntelCorporation_INTC_	CoffeeFutures_KC_F_	NextEraEnergy_Inc__NEE_	NVIDIACorporation_NVDA_	Silver_SI_F_	SyscoCorporation_SYY_	UnitedHealthGroupIncorporated_UNH_	WalmartInc__WMT_	ExxonMobilCorporation_XOM_
2020-01-29	118.36	85.28	9288.44	66.33	102.05	66.44	6.14	17.43	81.89	282.9	38.63	64.11
2020-01-30	119.88	85.3	9503.08	66.47	101.5	67.48	6.15	17.95	82.84	280.98	38.86	64.79
2020-01-31	118.54	85.52	9334.98	63.93	102.65	67.05	5.91	17.97	82.14	272.45	38.16	62.12
2020-02-03	119.05	85.26	9280.49	64.42	97.9	66.7	6.01	17.64	76.68	274.02	38.09	60.73
2020-02-04	119.95	85	9164.33	65.46	98.15	66.14	6.18	17.53	75.06	280.84	38.42	59.97
2020-02-05	124.67	84.86	9613.82	67.34	97.75	66.68	6.27	17.57	75.7	295.73	38.94	62.73
2020-02-06	123.89	84.94	9763.01	67.09	98.15	67.08	6.36	17.79	76.62	292.46	38.77	61.88
2020-02-07	124.43	85.2	9808.05	66.02	98.35	67.39	6.29	17.67	77.36	289.22	38.82	61.47
2020-02-10	123.95	85.33	9851.78	66.39	100.3	67.94	6.57	17.76	76.96	287.03	38.42	59.96
2020-02-11	125.1	85.19	10270.01	67.41	100.5	68.04	6.7	17.57	76.27	290.79	38.47	60.53
2020-02-12	123.78	85.09	10351.13	67.46	100.65	67.57	6.81	17.48	77.46	303.48	38.62	61.27
2020-02-13	124.89	85.17	10236.49	67.44	104.45	68.87	6.77	17.6	77.94	302.2	39.15	60.93
2020-02-14	125.57	85.26	10371.33	67.27	109.1	69.63	7.24	17.72	78.21	298.78	39.3	60.65
2020-02-18	124.3	85.39	10188.04	66.14	106.55	70.51	7.41	18.13	76.83	302.14	39.88	59.88
2020-02-19	124.26	85.38	9600.08	67.11	106.8	68.67	7.87	18.29	76.2	305.31	39.23	60.34
2020-02-20	123.46	85.59	9610.05	65.45	103.6	69.26	7.72	18.31	76.71	302.13	39.23	59.86
2020-02-21	123.62	85.8	9695.66	64.34	108.85	69.4	7.35	18.52	77.04	301.43	39.53	59.13
2020-02-24	120.54	86.07	9660	61.76	105.9	68.49	6.83	18.87	75.54	277.79	38.77	56.36
2020-02-25	117.31	86.14	9305	59.73	107.1	67.58	6.55	18.18	74.05	263.39	38.13	54.2
2020-02-26	115.73	86.09	8778.3	59.65	109.1	67.37	6.69	17.83	72.87	263	37.93	53.01
2020-02-27	109.92	86.19	8812.49	55.83	108.2	63.96	6.32	17.66	69.68	253.92	36.8	49.82
2020-02-28	105.25	86.76	8708.89	55.52	110.1	63.19	6.75	16.39	66.65	254.96	35.89	51.44
2020-03-02	112.67	86.53	8915	58.18	114.65	67.09	6.91	16.68	69.68	273.11	38.63	53.88
2020-03-03	109.2	87.05	8757.84	55.97	121.05	66.29	6.65	17.13	68.5	261.4	37.64	51.3
2020-03-04	114.51	87.03	8760.66	58.68	117.15	70.56	7.11	17.19	70.65	289.42	38.92	52.42
2020-03-05	108.46	87.36	9070.17	56.96	109.85	69.04	6.83	17.34	67.65	282.96	38.64	50.11
2020-03-06	107.14	87.96	9158.51	55.77	105.6	67.96	6.65	17.21	66.95	283.87	39.08	47.69
2020-03-09	95.61	87.77	7934.52	50.85	108.95	65.32	6.14	17	61.25	273.44	39.05	41.86
2020-03-10	99.26	86.59	7894.68	53.98	114.25	63.93	6.53	16.91	62.42	280	39.93	43.41
2020-03-11	92.77	84.95	7938.05	51.66	111.55	60.32	6.16	16.73	55.15	277.78	38.14	41.98
2020-03-12	83.8	80.33	4857.1	45.54	109.15	52.22	5.41	15.96	43.51	250.41	34.68	37.18
2020-03-13	92.77	83.72	5637.6	54.43	107.05	55.39	6.02	14.46	47.07	272.04	38.03	38.12
2020-03-16	84.98	84.6	5037.61	44.61	103.9	50.34	4.91	12.77	37.75	225.04	35.59	34.49
2020-03-17	87.94	82.85	5331.71	50.08	102.9	55.44	5.43	12.47	35.06	244.22	39.75	36.81
